Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
20210602-MA-CWB1P_S44_L001_R2_001	(1.0, 14.287972182709025)	(2.0, 4.362256993835941)	(3.0, 2.3233760075865337)	(4.0, 2.212739054844318)	(5.0, 2.054686265212581)	(6.0, 1.2328117591275487)	(7.0, 1.991465149359886)	(8.0, 0.7586533902323376)	(9.0, 1.1379800853485065)	('>10', 25.225225225225223)	('>50', 7.254623044096728)	('>100', 7.997471155365893)	('>500', 11.332385016595543)	('>1k', 17.828354670459934)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-CWB1W_S11_L001_R1_001	(1.0, 9.569949561985664)	(2.0, 4.061587470135386)	(3.0, 2.4289885850809663)	(4.0, 1.9644279267321474)	(5.0, 1.659145208388638)	(6.0, 1.0353066100345103)	(7.0, 2.0440668967348024)	(8.0, 1.6989646933899656)	(9.0, 1.791876825059729)	('>10', 20.573400584019115)	('>50', 7.008229360233607)	('>100', 28.577117069285908)	('>500', 17.586939208919564)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-CWB1W_S11_L001_R2_001	(1.0, 13.93681975046456)	(2.0, 4.990708786833023)	(3.0, 2.3095301300769844)	(4.0, 1.5396867533846563)	(5.0, 0.9954871250331829)	(6.0, 1.4335014600477833)	(7.0, 1.0220334483674012)	(8.0, 1.4865941067162198)	(9.0, 1.6724183700557473)	('>10', 21.157419697371914)	('>50', 8.335545526944518)	('>100', 15.688877090522963)	('>500', 8.800106185293338)	('>1k', 16.63127156888771)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-CWS1F_S77_L001_R1_001	(1.0, 9.318681318681318)	(2.0, 4.3076923076923075)	(3.0, 3.032967032967033)	(4.0, 2.6373626373626373)	(5.0, 2.3443223443223444)	(6.0, 1.4065934065934065)	(7.0, 2.051282051282051)	(8.0, 1.641025641025641)	(9.0, 1.9780219780219779)	('>10', 16.967032967032967)	('>50', 5.91941391941392)	('>100', 24.571428571428573)	('>500', 23.824175824175825)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-CWS1F_S77_L001_R2_001	(1.0, 19.032967032967033)	(2.0, 4.9523809523809526)	(3.0, 2.769230769230769)	(4.0, 2.3443223443223444)	(5.0, 2.417582417582418)	(6.0, 1.054945054945055)	(7.0, 2.2564102564102564)	(8.0, 1.1721611721611722)	(9.0, 1.5824175824175823)	('>10', 21.113553113553113)	('>50', 11.135531135531137)	('>100', 16.68864468864469)	('>500', 13.47985347985348)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-CWS1P_S78_L001_R1_001	(1.0, 12.754702194357368)	(2.0, 6.0344827586206895)	(3.0, 3.3503134796238245)	(4.0, 2.272727272727273)	(5.0, 4.114420062695925)	(6.0, 1.9984326018808778)	(7.0, 2.8800940438871474)	(8.0, 2.19435736677116)	(9.0, 0.35266457680250785)	('>10', 22.452978056426332)	('>50', 1.7829153605015673)	('>100', 39.811912225705335)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-CWS1P_S78_L001_R2_001	(1.0, 21.277429467084637)	(2.0, 6.700626959247649)	(3.0, 3.7029780564263324)	(4.0, 3.605015673981191)	(5.0, 3.2327586206896552)	(6.0, 2.586206896551724)	(7.0, 1.9200626959247649)	(8.0, 2.507836990595611)	(9.0, 2.644984326018809)	('>10', 23.92241379310345)	('>50', 6.700626959247649)	('>100', 9.698275862068966)	('>500', 11.50078369905956)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-CWS1W_S70_L001_R1_001	(1.0, 9.747242005306521)	(2.0, 4.552436810501327)	(3.0, 2.2622538751571013)	(4.0, 2.066750453847228)	(5.0, 1.9550342130987293)	(6.0, 1.9271051529116048)	(7.0, 1.857282502443793)	(8.0, 1.4523111297304845)	(9.0, 1.8852115626309174)	('>10', 18.852115626309175)	('>50', 8.699902248289346)	('>100', 22.27342549923195)	('>500', 22.468928920541824)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-CWS1W_S70_L001_R2_001	(1.0, 14.60689847786622)	(2.0, 5.697528278173439)	(3.0, 3.142019271051529)	(4.0, 2.1226085742214775)	(5.0, 1.8852115626309174)	(6.0, 1.1730205278592376)	(7.0, 1.0752688172043012)	(8.0, 1.228878648233487)	(9.0, 2.7649769585253456)	('>10', 21.240050272308338)	('>50', 12.121212121212121)	('>100', 19.536377600893733)	('>500', 13.405948889819857)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-MBB1F_S68_L001_R1_001	(1.0, 6.4542263029975695)	(2.0, 2.889549014312719)	(3.0, 1.4582770726438024)	(4.0, 1.080205238995409)	(5.0, 1.2827437213070483)	(6.0, 0.9721847150958682)	(7.0, 0.4725897920604915)	(8.0, 0.32406157169862276)	(9.0, 0.6076154469349176)	('>10', 16.79719146637861)	('>50', 14.636780988387793)	('>100', 18.957601944369433)	('>500', 0.0)	('>1k', 34.06697272481772)	('>5k', 0.0)	('>10k+', 0.0)
