Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
20210615-MA-MBS1W_S83_L001_R1_001	(1.0, 7.872611464968153)	(2.0, 3.7197452229299364)	(3.0, 1.4522292993630572)	(4.0, 1.1210191082802548)	(5.0, 1.019108280254777)	(6.0, 0.8407643312101911)	(7.0, 0.6242038216560509)	(8.0, 0.8152866242038216)	(9.0, 1.0318471337579618)	('>10', 18.624203821656053)	('>50', 13.171974522292992)	('>100', 17.949044585987263)	('>500', 0.0)	('>1k', 31.75796178343949)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-MBS1W_S83_L001_R2_001	(1.0, 15.796178343949045)	(2.0, 3.7197452229299364)	(3.0, 2.4840764331210194)	(4.0, 1.5286624203821657)	(5.0, 1.1464968152866242)	(6.0, 0.6878980891719746)	(7.0, 1.337579617834395)	(8.0, 0.5095541401273885)	(9.0, 0.45859872611464964)	('>10', 17.439490445859875)	('>50', 6.038216560509555)	('>100', 20.94267515923567)	('>500', 0.0)	('>1k', 27.910828025477706)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-SCB2F_S86_L001_R1_001	(1.0, 70.0)	(2.0, 0.0)	(3.0, 30.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-SCB2F_S86_L001_R2_001	(1.0, 80.0)	(2.0, 20.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-SCB2P_S76_L001_R1_001	(1.0, 10.541310541310542)	(2.0, 5.726495726495727)	(3.0, 3.2478632478632483)	(4.0, 1.8233618233618232)	(5.0, 2.207977207977208)	(6.0, 2.1367521367521367)	(7.0, 1.1965811965811968)	(8.0, 1.1396011396011396)	(9.0, 0.38461538461538464)	('>10', 17.236467236467238)	('>50', 11.196581196581198)	('>100', 35.61253561253561)	('>500', 7.54985754985755)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-SCB2P_S76_L001_R2_001	(1.0, 19.18803418803419)	(2.0, 4.7578347578347575)	(3.0, 3.5042735042735043)	(4.0, 2.336182336182336)	(5.0, 2.4216524216524213)	(6.0, 1.8803418803418803)	(7.0, 1.5954415954415955)	(8.0, 1.2535612535612535)	(9.0, 1.5384615384615385)	('>10', 19.97150997150997)	('>50', 8.005698005698006)	('>100', 33.547008547008545)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-SCB2W_S20_L001_R1_001	(1.0, 8.19592628516004)	(2.0, 3.685741998060136)	(3.0, 1.697381183317168)	(4.0, 0.9699321047526674)	(5.0, 1.3740704817329454)	(6.0, 0.6789524733268671)	(7.0, 0.9052699644358229)	(8.0, 0.7759456838021339)	(9.0, 0.1454898157129001)	('>10', 16.39185257032008)	('>50', 11.461364371160686)	('>100', 53.71807306821855)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-SCB2W_S20_L001_R2_001	(1.0, 12.027158098933075)	(2.0, 4.04138376980278)	(3.0, 1.7943743937924344)	(4.0, 1.0345942450695118)	(5.0, 1.050759780148723)	(6.0, 0.4849660523763337)	(7.0, 1.0184287099903007)	(8.0, 1.0345942450695118)	(9.0, 0.8729388942774006)	('>10', 15.939217588102167)	('>50', 10.701584222437763)	('>100', 41.65858389912706)	('>500', 8.341416100872939)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-SCS2F_S19_L001_R1_001	(1.0, 7.711442786069651)	(2.0, 3.067993366500829)	(3.0, 1.8034825870646767)	(4.0, 1.5754560530679935)	(5.0, 0.5182421227197347)	(6.0, 0.9950248756218906)	(7.0, 0.43532338308457713)	(8.0, 0.8291873963515755)	(9.0, 0.7462686567164178)	('>10', 18.325041459369817)	('>50', 11.028192371475953)	('>100', 52.96434494195689)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-SCS2F_S19_L001_R2_001	(1.0, 12.230514096185738)	(2.0, 3.731343283582089)	(3.0, 1.9278606965174128)	(4.0, 1.2437810945273633)	(5.0, 1.554726368159204)	(6.0, 0.6218905472636816)	(7.0, 1.5961857379767828)	(8.0, 1.1608623548922055)	(9.0, 0.5597014925373134)	('>10', 18.88474295190713)	('>50', 7.172470978441129)	('>100', 38.80597014925373)	('>500', 10.509950248756219)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-SCS2P_S1_L001_R1_001	(1.0, 4.78210566910914)	(2.0, 1.504049363671423)	(3.0, 0.9834168916313151)	(4.0, 0.6556112610875434)	(5.0, 0.8677207867335134)	(6.0, 0.46278441959120714)	(7.0, 0.8773621288083301)	(8.0, 0.9255688391824143)	(9.0, 0.520632472040108)	('>10', 19.658696490551485)	('>50', 20.304666409564213)	('>100', 15.107983031237948)	('>500', 0.0)	('>1k', 33.349402236791356)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-SCS2P_S1_L001_R2_001	(1.0, 7.761280370227536)	(2.0, 1.5233320478210566)	(3.0, 0.7520246818357115)	(4.0, 0.5784805244890089)	(5.0, 0.5784805244890089)	(6.0, 0.6363285769379098)	(7.0, 0.4724257616660239)	(8.0, 0.38565368299267255)	(9.0, 0.34708831469340534)	('>10', 22.290782876976476)	('>50', 10.142691862707288)	('>100', 12.784419591207097)	('>500', 7.7130736598534515)	('>1k', 34.03393752410335)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-SCS2W_S43_L001_R1_001	(1.0, 7.896086139121518)	(2.0, 3.3498547256879165)	(3.0, 1.2305588788241326)	(4.0, 1.2989232609810288)	(5.0, 1.1109212100495642)	(6.0, 0.6152794394120663)	(7.0, 0.4785506750982738)	(8.0, 0.6836438215689626)	(9.0, 0.4614595795590497)	('>10', 16.185267475645187)	('>50', 15.040164074517175)	('>100', 51.649290719535124)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-SCS2W_S43_L001_R2_001	(1.0, 11.980857972996068)	(2.0, 3.384036916766365)	(3.0, 2.153478037942232)	(4.0, 1.6407451717655102)	(5.0, 1.1109212100495642)	(6.0, 1.1280123055887883)	(7.0, 0.7178260126474106)	(8.0, 0.6836438215689626)	(9.0, 0.7690992992650828)	('>10', 16.13399418902752)	('>50', 10.271748419073663)	('>100', 30.422150059818836)	('>500', 19.60348658349)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-ABB2F_S3_L001_R1_001	(1.0, 8.91425046267736)	(2.0, 4.009870450339297)	(3.0, 2.961135101789019)	(4.0, 2.0357803824799507)	(5.0, 1.542257865515114)	(6.0, 1.3880320789636027)	(7.0, 0.7557063541024059)	(8.0, 0.987045033929673)	(9.0, 0.6940160394818014)	('>10', 23.627390499691547)	('>50', 6.1844540407156074)	('>100', 17.02652683528686)	('>500', 13.756940160394818)	('>1k', 16.116594694632944)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-ABB2F_S3_L001_R2_001	(1.0, 12.43059839605182)	(2.0, 4.410857495373226)	(3.0, 2.961135101789019)	(4.0, 2.0357803824799507)	(5.0, 1.6964836520666253)	(6.0, 1.4805675508945095)	(7.0, 0.6477483035163479)	(8.0, 0.7402837754472548)	(9.0, 1.2492288710672423)	('>10', 18.13695249845774)	('>50', 9.916718075262184)	('>100', 18.260333127698953)	('>500', 0.0)	('>1k', 26.03331276989513)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-ABB2P_S49_L001_R1_001	(1.0, 10.258175559380378)	(2.0, 4.40619621342513)	(3.0, 2.891566265060241)	(4.0, 2.570281124497992)	(5.0, 1.4343086632243258)	(6.0, 1.5834767641996557)	(7.0, 1.6064257028112447)	(8.0, 1.376936316695353)	(9.0, 1.8588640275387263)	('>10', 19.311531841652325)	('>50', 10.464716006884682)	('>100', 14.056224899598394)	('>500', 0.0)	('>1k', 28.181296615031552)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-ABB2P_S49_L001_R2_001	(1.0, 13.780837636259324)	(2.0, 4.865174985656914)	(3.0, 2.512908777969019)	(4.0, 2.203098106712565)	(5.0, 1.663798049340218)	(6.0, 1.8588640275387263)	(7.0, 1.285140562248996)	(8.0, 0.7343660355708549)	(9.0, 0.8261617900172116)	('>10', 20.206540447504302)	('>50', 8.640275387263339)	('>100', 7.940332759609868)	('>500', 7.401032702237521)	('>1k', 26.08146873207114)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-ABB2W_S64_L001_R1_001	(1.0, 7.593790426908149)	(2.0, 4.320827943078913)	(3.0, 2.1345407503234153)	(4.0, 1.3454075032341526)	(5.0, 1.423027166882277)	(6.0, 2.483829236739974)	(7.0, 0.9055627425614489)	(8.0, 1.034928848641656)	(9.0, 0.9314359637774904)	('>10', 22.716688227684347)	('>50', 7.347994825355757)	('>100', 16.248382923673997)	('>500', 0.0)	('>1k', 31.513583441138422)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-ABB2W_S64_L001_R2_001	(1.0, 11.216041397153946)	(2.0, 4.45019404915912)	(3.0, 1.9793014230271668)	(4.0, 2.1733505821474774)	(5.0, 1.29366106080207)	(6.0, 1.3195342820181113)	(7.0, 1.2677878395860285)	(8.0, 1.1384217335058213)	(9.0, 0.34928848641655885)	('>10', 16.584734799482536)	('>50', 9.702457956015524)	('>100', 20.54333764553687)	('>500', 0.0)	('>1k', 27.98188874514877)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-ABS1F_S15_L001_R1_001	(1.0, 9.831164263102357)	(2.0, 5.0650721069293)	(3.0, 2.796341892367218)	(4.0, 1.9697502638058388)	(5.0, 1.2310939148786493)	(6.0, 0.7386563489271896)	(7.0, 0.8617657404150545)	(8.0, 1.4069644741470277)	(9.0, 1.1079845233907843)	('>10', 23.02145620823074)	('>50', 7.931762223003869)	('>100', 15.406260991909953)	('>500', 28.631727048892014)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-ABS1F_S15_L001_R2_001	(1.0, 12.32852620471333)	(2.0, 3.904326415758002)	(3.0, 3.060147731269786)	(4.0, 2.0400984875131902)	(5.0, 1.6707703130495954)	(6.0, 1.4773126978543791)	(7.0, 0.7386563489271896)	(8.0, 0.8441786844882168)	(9.0, 0.47485051002462186)	('>10', 16.74287724234963)	('>50', 13.665142455153006)	('>100', 17.674991206472036)	('>500', 0.0)	('>1k', 25.378121702427016)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-ABS1P_S13_L001_R1_001	(1.0, 10.384615384615385)	(2.0, 5.096153846153846)	(3.0, 3.221153846153846)	(4.0, 3.076923076923077)	(5.0, 1.9230769230769231)	(6.0, 1.5384615384615385)	(7.0, 1.0096153846153846)	(8.0, 1.4102564102564104)	(9.0, 1.0096153846153846)	('>10', 22.003205128205128)	('>50', 5.336538461538462)	('>100', 12.275641025641026)	('>500', 15.352564102564104)	('>1k', 16.36217948717949)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-ABS1P_S13_L001_R2_001	(1.0, 13.349358974358974)	(2.0, 4.743589743589744)	(3.0, 2.9326923076923075)	(4.0, 2.307692307692308)	(5.0, 1.4423076923076923)	(6.0, 1.153846153846154)	(7.0, 2.1314102564102564)	(8.0, 1.282051282051282)	(9.0, 0.7211538461538461)	('>10', 18.525641025641026)	('>50', 10.208333333333334)	('>100', 12.003205128205128)	('>500', 0.0)	('>1k', 29.19871794871795)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-ABS1W_S16_L001_R1_001	(1.0, 9.390186549615926)	(2.0, 4.263991221194545)	(3.0, 2.4925536918012225)	(4.0, 1.8184668443329677)	(5.0, 1.1757328734911427)	(6.0, 1.4108794481893714)	(7.0, 0.9876156137325599)	(8.0, 1.0032920520457753)	(9.0, 1.128703558551497)	('>10', 23.248158018498195)	('>50', 7.556043266969745)	('>100', 15.080733657313058)	('>500', 30.443643204263992)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-ABS1W_S16_L001_R2_001	(1.0, 12.384386267440037)	(2.0, 3.6369336886659354)	(3.0, 2.586612321680514)	(4.0, 1.6303495845743847)	(5.0, 1.0973506819250667)	(6.0, 1.787113967706537)	(7.0, 0.7681454773475467)	(8.0, 1.5049380780686628)	(9.0, 0.7054397240946857)	('>10', 16.711083241887444)	('>50', 11.475152845273554)	('>100', 17.918168992005015)	('>500', 0.0)	('>1k', 27.794325129330616)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-CEB1F_S39_L001_R1_001	(1.0, 11.38270704122583)	(2.0, 5.472455308281649)	(3.0, 3.1740240788033565)	(4.0, 1.6052535570959505)	(5.0, 1.7329441809558557)	(6.0, 1.7511856986501275)	(7.0, 0.7661437431594309)	(8.0, 0.8755928493250638)	(9.0, 0.6566946369937978)	('>10', 29.204669828529735)	('>50', 10.653046333454943)	('>100', 12.586647209047793)	('>500', 20.138635534476467)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-CEB1F_S39_L001_R2_001	(1.0, 15.888361911711055)	(2.0, 5.034658883619117)	(3.0, 2.134257570229843)	(4.0, 2.261948194089748)	(5.0, 1.2769062385990515)	(6.0, 0.8755928493250638)	(7.0, 0.6384531192995258)	(8.0, 0.7296607077708865)	(9.0, 1.3133892739875956)	('>10', 20.81357168916454)	('>50', 9.376140094855892)	('>100', 22.856621670923023)	('>500', 16.800437796424664)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-CEB1P_S62_L001_R1_001	(1.0, 11.442649876813578)	(2.0, 5.201204489460717)	(3.0, 2.6690391459074734)	(4.0, 2.2447303586093623)	(5.0, 2.258417738844785)	(6.0, 1.149739939775527)	(7.0, 1.341363263071448)	(8.0, 1.5329865863673693)	(9.0, 0.8623049548316452)	('>10', 23.41910758280865)	('>50', 11.483712017519847)	('>100', 12.236517930468109)	('>500', 24.15822611552149)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-CEB1P_S62_L001_R2_001	(1.0, 14.618122091431701)	(2.0, 5.8581987407610185)	(3.0, 2.7922255680262795)	(4.0, 2.2447303586093623)	(5.0, 1.9162332329592116)	(6.0, 1.806734191075828)	(7.0, 1.341363263071448)	(8.0, 0.9854913769504517)	(9.0, 0.7391185327128388)	('>10', 20.243635368190528)	('>50', 10.42978373939228)	('>100', 15.507801806734193)	('>500', 0.0)	('>1k', 21.516561730084863)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-CEB1W_S72_L001_R1_001	(1.0, 10.517125587642713)	(2.0, 4.647414372061787)	(3.0, 2.941571524513096)	(4.0, 1.6118200134318332)	(5.0, 1.4775016789791806)	(6.0, 1.2894560107454667)	(7.0, 1.1282740094022834)	(8.0, 1.1820013431833445)	(9.0, 1.4506380120886502)	('>10', 21.47750167897918)	('>50', 15.030221625251846)	('>100', 19.892545332437876)	('>500', 17.35392881128274)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-CEB1W_S72_L001_R2_001	(1.0, 15.285426460711887)	(2.0, 5.050369375419745)	(3.0, 2.981867024848892)	(4.0, 1.773002014775017)	(5.0, 1.3431833445265278)	(6.0, 1.1282740094022834)	(7.0, 1.1282740094022834)	(8.0, 1.0745466756212223)	(9.0, 0.8462055070517126)	('>10', 18.844862323707186)	('>50', 7.6964405641370055)	('>100', 29.348556077904636)	('>500', 0.0)	('>1k', 13.498992612491605)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-CES2F_S74_L001_R1_001	(1.0, 8.327842930557386)	(2.0, 4.1375675319541445)	(3.0, 2.4904466991698513)	(4.0, 2.3191461325602845)	(5.0, 1.449466332850178)	(6.0, 1.264988799578337)	(7.0, 0.9223876663592041)	(8.0, 1.370404532876532)	(9.0, 0.9487415996837528)	('>10', 19.19884042693372)	('>50', 7.115561997628146)	('>100', 22.796152325734617)	('>500', 0.0)	('>1k', 27.65845302411385)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-CES2F_S74_L001_R2_001	(1.0, 16.049545394650153)	(2.0, 4.190275398603242)	(3.0, 2.292792199235736)	(4.0, 2.529977599156674)	(5.0, 1.2518118329160628)	(6.0, 1.3440505995519831)	(7.0, 1.0146264329951244)	(8.0, 0.9487415996837528)	(9.0, 0.7115561997628146)	('>10', 17.591250494136247)	('>50', 5.613387798128871)	('>100', 21.87376465937541)	('>500', 0.0)	('>1k', 24.58821979180393)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-CES2P_S61_L001_R1_001	(1.0, 9.364283830123977)	(2.0, 3.613822210498549)	(3.0, 2.4136111843840675)	(4.0, 2.110261144816671)	(5.0, 1.4508045370614615)	(6.0, 2.1366394091268797)	(7.0, 1.8464785017145873)	(8.0, 1.899235030335004)	(9.0, 0.8309153257715642)	('>10', 20.878396201529938)	('>50', 3.4951200211026117)	('>100', 12.068055921920337)	('>500', 0.0)	('>1k', 37.89237668161435)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-CES2P_S61_L001_R2_001	(1.0, 12.081245054075442)	(2.0, 3.9303613822210495)	(3.0, 2.492745977314693)	(4.0, 1.63545238723292)	(5.0, 1.7145871801635453)	(6.0, 1.1078871010287523)	(7.0, 1.2002110261144818)	(8.0, 1.371669744130836)	(9.0, 0.949617515167502)	('>10', 18.10867844895806)	('>50', 5.855974676866262)	('>100', 11.804273278818254)	('>500', 0.0)	('>1k', 37.74729622790821)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-CES2W_S7_L001_R1_001	(1.0, 9.75438596491228)	(2.0, 4.982456140350877)	(3.0, 3.2105263157894735)	(4.0, 1.7543859649122806)	(5.0, 2.017543859649123)	(6.0, 1.368421052631579)	(7.0, 1.3508771929824561)	(8.0, 1.4035087719298245)	(9.0, 1.263157894736842)	('>10', 23.07017543859649)	('>50', 8.105263157894736)	('>100', 11.24561403508772)	('>500', 30.473684210526315)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-CES2W_S7_L001_R2_001	(1.0, 13.56140350877193)	(2.0, 4.350877192982456)	(3.0, 3.3157894736842106)	(4.0, 1.7543859649122806)	(5.0, 1.9298245614035088)	(6.0, 1.1578947368421053)	(7.0, 1.2280701754385965)	(8.0, 0.8421052631578947)	(9.0, 1.4210526315789473)	('>10', 18.49122807017544)	('>50', 9.456140350877194)	('>100', 12.578947368421053)	('>500', 0.0)	('>1k', 29.912280701754383)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-CWB1F_S14_L001_R1_001	(1.0, 11.310531662715881)	(2.0, 6.027768371147985)	(3.0, 3.149339654588554)	(4.0, 2.505926176769387)	(5.0, 1.100575685743312)	(6.0, 1.6254656281747375)	(7.0, 2.0149001015916017)	(8.0, 0.6772773450728073)	(9.0, 1.5238740264138164)	('>10', 20.09820521503556)	('>50', 4.402302742973248)	('>100', 45.56383338977311)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-CWB1F_S14_L001_R2_001	(1.0, 17.998645445309855)	(2.0, 5.51981036234338)	(3.0, 3.352522858110396)	(4.0, 2.4381984422621064)	(5.0, 1.6931933626820181)	(6.0, 1.5238740264138164)	(7.0, 0.9481882831019303)	(8.0, 0.9481882831019303)	(9.0, 1.5238740264138164)	('>10', 23.17981713511683)	('>50', 9.058584490348798)	('>100', 21.368100237047074)	('>500', 10.447003047748053)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-CWB1P_S50_L001_R1_001	(1.0, 12.771211853942493)	(2.0, 7.0206385605926975)	(3.0, 3.386840712647733)	(4.0, 2.257893808431822)	(5.0, 2.1167754454048335)	(6.0, 1.3759040395131417)	(7.0, 1.2347856764861527)	(8.0, 0.8467101781619333)	(9.0, 1.2700652672429)	('>10', 25.101428823425646)	('>50', 6.4738049038631145)	('>100', 36.143940730287525)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-CWB1P_S50_L001_R2_001	(1.0, 19.9858881636973)	(2.0, 7.197036514376433)	(3.0, 4.074792732404304)	(4.0, 2.5401305344858)	(5.0, 2.3813723760804377)	(6.0, 2.0109366731345917)	(7.0, 1.1113071088375375)	(8.0, 2.257893808431822)	(9.0, 0.9525489504321749)	('>10', 25.930499206209205)	('>50', 5.926971247133533)	('>100', 14.60575057329335)	('>500', 11.024872111483507)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-CWB1W_S38_L001_R1_001	(1.0, 13.243612248878486)	(2.0, 5.656329237370782)	(3.0, 3.3352837916910474)	(4.0, 2.1845133606397504)	(5.0, 2.633118782913985)	(6.0, 1.638385020479813)	(7.0, 1.2287887653598597)	(8.0, 1.2482933489370003)	(9.0, 1.0532475131655938)	('>10', 23.561536961185876)	('>50', 8.660035108250439)	('>100', 35.55685586112736)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-CWB1W_S38_L001_R2_001	(1.0, 20.128730251609127)	(2.0, 6.748585917690657)	(3.0, 3.5693387946167348)	(4.0, 3.1207333723425004)	(5.0, 2.2430271113711724)	(6.0, 1.5213575190169688)	(7.0, 1.638385020479813)	(8.0, 1.2482933489370003)	(9.0, 0.8777062609713282)	('>10', 24.614784474351474)	('>50', 5.773356738833626)	('>100', 18.21728106104935)	('>500', 10.298420128730251)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-CWS1F_S73_L001_R1_001	(1.0, 10.02992064524522)	(2.0, 4.553141667750748)	(3.0, 2.458696500585404)	(4.0, 2.185508000520359)	(5.0, 1.3659425003252244)	(6.0, 1.2488617145830623)	(7.0, 1.3659425003252244)	(8.0, 1.2488617145830623)	(9.0, 1.053727071679459)	('>10', 22.21933133862365)	('>50', 2.9790555483283465)	('>100', 49.29101079745024)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-CWS1F_S73_L001_R2_001	(1.0, 18.628853909197346)	(2.0, 4.735267334460778)	(3.0, 2.7709119292311697)	(4.0, 1.977364381423182)	(5.0, 2.1464810719396383)	(6.0, 1.6391310003902693)	(7.0, 1.1838168336151944)	(8.0, 1.4570053336802395)	(9.0, 1.170807857421621)	('>10', 23.611291791336022)	('>50', 5.411734096526604)	('>100', 16.37830102770912)	('>500', 18.889033433068818)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-CWS1P_S37_L001_R1_001	(1.0, 11.924023918396061)	(2.0, 5.768554344002814)	(3.0, 3.640520576855434)	(4.0, 2.884277172001407)	(5.0, 2.550123109391488)	(6.0, 1.7938797045374604)	(7.0, 1.1079845233907843)	(8.0, 1.266268026732325)	(9.0, 1.266268026732325)	('>10', 20.295462539570877)	('>50', 13.40133661625044)	('>100', 34.101301442138585)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-CWS1P_S37_L001_R2_001	(1.0, 17.710165318325714)	(2.0, 6.436862469222652)	(3.0, 4.748505100246219)	(4.0, 3.376714737952867)	(5.0, 2.198381990854731)	(6.0, 1.8994020400984875)	(7.0, 1.2310939148786493)	(8.0, 2.391839606049947)	(9.0, 1.5828350334154064)	('>10', 18.343299331691874)	('>50', 9.057333802321493)	('>100', 17.446359479423144)	('>500', 13.577207175518819)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-CWS1W_S2_L001_R1_001	(1.0, 12.569351444423187)	(2.0, 4.668069638415917)	(3.0, 3.0418978381480772)	(4.0, 2.2192462215419937)	(5.0, 2.3914291180409415)	(6.0, 2.1809833556533387)	(7.0, 1.2052802754926344)	(8.0, 1.0713602448823416)	(9.0, 1.54964606849053)	('>10', 20.872393342261336)	('>50', 7.2125502200114795)	('>100', 41.01779223263822)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-CWS1W_S2_L001_R2_001	(1.0, 17.390472546393728)	(2.0, 6.619475798737326)	(3.0, 2.5827434474842166)	(4.0, 3.214080734647025)	(5.0, 2.487086282762579)	(6.0, 2.410560550985269)	(7.0, 0.937440214272049)	(8.0, 2.448823416873924)	(9.0, 1.2052802754926344)	('>10', 26.286588865506026)	('>50', 6.485555768127033)	('>100', 15.821695044958867)	('>500', 12.110197053759327)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-MBB1F_S4_L001_R1_001	(1.0, 8.655473122478199)	(2.0, 4.39932318104907)	(3.0, 2.6552128074970716)	(4.0, 1.3015749056358195)	(5.0, 1.4317323961994013)	(6.0, 0.8590394377196408)	(7.0, 1.548874137706625)	(8.0, 0.9371339320577898)	(9.0, 1.2885591565794612)	('>10', 19.849017310946245)	('>50', 14.668749186515683)	('>100', 15.775087856306131)	('>500', 12.338930105427567)	('>1k', 14.291292463881296)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-MBB1F_S4_L001_R2_001	(1.0, 12.755434075231028)	(2.0, 3.956787713132891)	(3.0, 2.7723545490042953)	(4.0, 1.6139528829884158)	(5.0, 1.3015749056358195)	(6.0, 1.2495119094103866)	(7.0, 0.9111024339450735)	(8.0, 1.2495119094103866)	(9.0, 0.7028504490433425)	('>10', 15.462709878953534)	('>50', 8.121827411167512)	('>100', 26.018482363660027)	('>500', 0.0)	('>1k', 23.883899518417284)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-MBB1P_S85_L001_R1_001	(1.0, 7.804735457468577)	(2.0, 3.9364708174997562)	(3.0, 2.39695995323005)	(4.0, 1.7538731365097926)	(5.0, 1.4128422488551107)	(6.0, 1.2277111955568547)	(7.0, 1.0230926629640456)	(8.0, 2.026697846633538)	(9.0, 1.0523238819058756)	('>10', 20.315697164571763)	('>50', 4.355451622332652)	('>100', 3.498002533372308)	('>500', 12.433011789924974)	('>1k', 36.763129689174704)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-MBB1P_S85_L001_R2_001	(1.0, 11.614537659553736)	(2.0, 3.8390334210269903)	(3.0, 1.9877228880444315)	(4.0, 1.481048426386047)	(5.0, 1.607717041800643)	(6.0, 1.5200233849751534)	(7.0, 1.2277111955568547)	(8.0, 0.77949917178213)	(9.0, 1.140017538731365)	('>10', 15.775114488940856)	('>50', 9.860664523043944)	('>100', 5.2031569716457176)	('>500', 0.0)	('>1k', 43.96375328851213)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-MBB1W_S56_L001_R1_001	(1.0, 7.761890866647213)	(2.0, 3.6766851473592066)	(3.0, 1.779982491975489)	(4.0, 1.7118957299873554)	(5.0, 1.1185682326621924)	(6.0, 1.1088415523781734)	(7.0, 1.0213014298220018)	(8.0, 0.5446940959050676)	(9.0, 0.2626203676685147)	('>10', 19.47281392860617)	('>50', 14.833187433129073)	('>100', 15.231981324773855)	('>500', 0.0)	('>1k', 31.47553739908569)	('>5k', 0.0)	('>10k+', 0.0)
