Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
20211005-MA-CES2W_S7_L001_R1_001	83.78947368421052	52.0	251.0	251	63.63636363636363	0.005699999999999999
20211005-MA-CES2W_S7_L001_R2_001	80.57894736842105	53.0	251.0	251	36.36363636363637	0.005699999999999999
20211005-MA-CWB1F_S14_L001_R1_001	81.69657974940739	52.0	251.0	251	63.63636363636363	0.005906
20211005-MA-CWB1F_S14_L001_R2_001	75.02539790044023	53.0	251.0	251	36.36363636363637	0.005906
20211005-MA-CWB1P_S50_L001_R1_001	79.44963838419474	53.0	251.0	251	63.63636363636363	0.0056689999999999996
20211005-MA-CWB1P_S50_L001_R2_001	71.63520903157523	53.0	251.0	251	36.36363636363637	0.0056689999999999996
20211005-MA-CWB1W_S38_L001_R1_001	79.48117807684805	52.0	251.0	251	63.63636363636363	0.005127
20211005-MA-CWB1W_S38_L001_R2_001	71.83538131460892	53.0	251.0	251	36.36363636363637	0.005127
20211005-MA-CWS1F_S73_L001_R1_001	84.09002211525953	52.0	251.0	251	63.63636363636363	0.007686999999999999
20211005-MA-CWS1F_S73_L001_R2_001	75.11382854169378	53.0	251.0	251	36.36363636363637	0.007686999999999999
20211005-MA-CWS1P_S37_L001_R1_001	80.51354203306366	51.0	251.0	251	63.63636363636363	0.005686
20211005-MA-CWS1P_S37_L001_R2_001	73.95357017235315	52.0	251.0	251	36.36363636363637	0.005686
20211005-MA-CWS1W_S2_L001_R1_001	80.71551559211785	52.0	251.0	251	63.63636363636363	0.005227
20211005-MA-CWS1W_S2_L001_R2_001	74.61258848287737	53.0	251.0	251	36.36363636363637	0.005227
20211005-MA-MBB1F_S4_L001_R1_001	85.81283352856957	51.0	251.0	251	63.63636363636363	0.007683
20211005-MA-MBB1F_S4_L001_R2_001	82.10334504750749	52.0	251.0	251	36.36363636363637	0.007683
20211005-MA-MBB1P_S85_L001_R1_001	86.9531326122966	51.0	251.0	251	63.63636363636363	0.010263
20211005-MA-MBB1P_S85_L001_R2_001	83.51359251680795	52.0	251.0	251	36.36363636363637	0.010263
20211005-MA-MBB1W_S56_L001_R1_001	87.53039587588756	52.0	251.0	251	63.63636363636363	0.010281
20211005-MA-MBB1W_S56_L001_R2_001	85.19599260772299	52.0	251.0	251	36.36363636363637	0.010281
20211005-MA-MBS1F_S48_L001_R1_001	85.74048601558918	52.0	251.0	251	63.63636363636363	0.006542999999999999
20211005-MA-MBS1F_S48_L001_R2_001	81.3999694329818	52.0	251.0	251	36.36363636363637	0.006542999999999999
20211005-MA-MBS1P_S26_L001_R1_001	83.59187589956821	51.0	251.0	251	63.63636363636363	0.006253
20211005-MA-MBS1P_S26_L001_R2_001	80.66528066528066	52.0	251.0	251	36.36363636363637	0.006253
20211005-MA-MBS1W_S60_L001_R1_001	86.32489190858554	51.0	251.0	251	63.63636363636363	0.008095
20211005-MA-MBS1W_S60_L001_R2_001	82.29771463866584	52.0	251.0	251	36.36363636363637	0.008095
20211005-MA-SCB1F_S51_L001_R1_001	88.99432936002778	51.0	251.0	251	63.63636363636363	0.008641
20211005-MA-SCB1F_S51_L001_R2_001	86.7260733711376	52.0	251.0	251	36.36363636363637	0.008641
20211005-MA-SCB1P_S27_L001_R1_001	86.77650429799426	51.0	251.0	251	63.63636363636363	0.00698
20211005-MA-SCB1P_S27_L001_R2_001	83.5243553008596	52.0	251.0	251	36.36363636363637	0.00698
20211005-MA-SCB1W_S95_L001_R1_001	81.17729176361098	51.0	251.0	251	63.63636363636363	0.008596
20211005-MA-SCB1W_S95_L001_R2_001	76.52396463471382	52.0	251.0	251	36.36363636363637	0.008596
20211005-MA-SCS2F_S63_L001_R1_001	88.86529528865296	51.0	251.0	251	63.63636363636363	0.007535
20211005-MA-SCS2F_S63_L001_R2_001	85.99867285998673	52.0	251.0	251	36.36363636363637	0.007535
20211005-MA-SCS2P_S25_L001_R1_001	87.58802816901408	50.0	251.0	251	63.63636363636363	0.006816
20211005-MA-SCS2P_S25_L001_R2_001	85.5193661971831	51.0	251.0	251	36.36363636363637	0.006816
20211005-MA-SCS2W_S75_L001_R1_001	88.52793258121517	51.0	251.0	251	63.63636363636363	0.007357
20211005-MA-SCS2W_S75_L001_R2_001	81.21516922658692	52.0	251.0	251	36.36363636363637	0.007357
3um-Control_S24_L001_R1_001	96.88061753198689	51.0	251.0	251	63.63636363636363	0.009457
3um-Control_S24_L001_R2_001	94.33224066828804	52.0	251.0	251	36.36363636363637	0.009457
DNA-Ext-Control_S12_L001_R1_001	95.81760531481201	52.0	251.0	251	63.63636363636363	0.0066229999999999995
DNA-Ext-Control_S12_L001_R2_001	93.76415521666918	52.0	251.0	251	36.36363636363637	0.0066229999999999995
MockZymoPos_S84_L001_R1_001	93.75559534467322	54.0	251.0	251	63.63636363636363	0.008936
MockZymoPos_S84_L001_R2_001	86.55998209489704	54.0	251.0	251	36.36363636363637	0.008936
WaterControl_S96_L001_R1_001	97.42790335151987	51.0	251.0	251	63.63636363636363	0.010263999999999999
WaterControl_S96_L001_R2_001	95.06040530007795	52.0	251.0	251	36.36363636363637	0.010263999999999999
